dataset_id,gesture,ax,ay,az,gx,gy,gz
1,throwing,-0.0474,0.3110,1.0398,-6.1264,0.0305,2.8992
1,throwing,-0.0522,0.3105,1.0332,-6.2790,-0.0610,2.8687
1,throwing,-0.0496,0.3093,1.0461,-6.4468,-0.2441,2.8152
1,throwing,-0.0496,0.3059,1.0388,-6.4697,-0.3967,2.6169
1,throwing,-0.0525,0.3083,1.0410,-6.5155,-0.6409,2.4796
1,throwing,-0.0481,0.3022,1.0369,-6.4621,-0.6638,2.2812
1,throwing,-0.0508,0.3022,1.0381,-6.5155,-0.6332,2.2278
1,throwing,-0.0459,0.2983,1.0366,-6.4545,-0.7706,2.0447
1,throwing,-0.0437,0.2996,1.0352,-6.5765,-0.7095,2.0142
1,throwing,-0.0464,0.2996,1.0322,-6.8359,-0.6866,1.8921
1,throwing,-0.0398,0.2976,1.0286,-6.7978,-0.6561,1.7166
1,throwing,-0.0461,0.2996,1.0315,-6.7291,-0.7477,1.6251
1,throwing,-0.0471,0.2991,1.0376,-6.6757,-0.7172,1.3809
1,throwing,-0.0513,0.2976,1.0476,-6.6605,-0.6485,1.1826
1,throwing,-0.0557,0.2981,1.0366,-6.7673,-0.9079,0.9308
1,throwing,-0.0476,0.2959,1.0349,-6.8359,-0.9384,0.9384
1,throwing,-0.0498,0.2971,1.0364,-6.9046,-0.9918,0.7324
1,throwing,-0.0530,0.2979,1.0398,-6.7978,-1.0529,0.5722
1,throwing,-0.0520,0.3022,1.0371,-6.7139,-1.1063,0.3586
1,throwing,-0.0464,0.3079,1.0439,-6.7139,-1.2283,0.2060
1,throwing,-0.0471,0.3101,1.0432,-6.7444,-1.4038,0.1678
1,throwing,-0.0527,0.3040,1.0347,-6.8817,-1.3580,0.0763
1,throwing,-0.0520,0.3040,1.0386,-6.8665,-1.4267,-0.0381
1,throwing,-0.0508,0.3071,1.0405,-7.1793,-1.4725,-0.2060
1,throwing,-0.0557,0.3132,1.0393,-7.4539,-1.4877,-0.4578
1,throwing,-0.0566,0.3123,1.0417,-7.4921,-1.3885,-0.5035
1,throwing,-0.0603,0.3091,1.0420,-7.5226,-1.2665,-0.8850
1,throwing,-0.0591,0.3130,1.0427,-7.7057,-1.2054,-0.9537
1,throwing,-0.0564,0.3176,1.0396,-7.8278,-1.1597,-1.0147
1,throwing,-0.0601,0.3191,1.0430,-7.8354,-1.0910,-0.9995
1,throwing,-0.0627,0.3193,1.0366,-7.6141,-0.8850,-0.9766
1,throwing,-0.0691,0.3228,1.0466,-7.6294,-0.9918,-1.0605
1,throwing,-0.0669,0.3279,1.0410,-7.8125,-0.8087,-0.9003
1,throwing,-0.0696,0.3335,1.0469,-7.7286,-0.7401,-0.9079
1,throwing,-0.0691,0.3306,1.0496,-7.8430,-0.7629,-0.9918
1,throwing,-0.0703,0.3384,1.0571,-7.8812,-0.7935,-0.9460
1,throwing,-0.0688,0.3435,1.0503,-7.7515,-0.7248,-0.7782
1,throwing,-0.0715,0.3457,1.0508,-7.4539,-0.8392,-0.7019
1,throwing,-0.0720,0.3491,1.0613,-7.3318,-1.0300,-0.5951
1,throwing,-0.0747,0.3472,1.0596,-7.4997,-1.2131,-0.5798
1,throwing,-0.0781,0.3499,1.0630,-7.3090,-1.3046,-0.4501
1,throwing,-0.0730,0.3513,1.0610,-7.1564,-1.2970,-0.0992
1,throwing,-0.0752,0.3484,1.0513,-7.2174,-1.3504,-0.0992
1,throwing,-0.0835,0.3455,1.0525,-7.1030,-1.3580,-0.0839
1,throwing,-0.0796,0.3484,1.0537,-7.0038,-1.4801,-0.0916
1,throwing,-0.0779,0.3499,1.0615,-7.0267,-1.4114,0.1144
1,throwing,-0.0781,0.3496,1.0530,-7.0114,-1.4496,0.3357
1,throwing,-0.0808,0.3530,1.0520,-7.1106,-1.6098,0.4425
1,throwing,-0.0869,0.3567,1.0542,-7.2403,-1.6632,0.4272
1,throwing,-0.0862,0.3577,1.0547,-7.2937,-1.6632,0.4425
1,throwing,-0.0820,0.3555,1.0583,-7.1487,-1.9150,0.6332
1,throwing,-0.0815,0.3550,1.0630,-7.2021,-2.1667,0.8621
1,throwing,-0.0833,0.3533,1.0576,-7.3090,-2.3117,0.9537
1,throwing,-0.0823,0.3555,1.0566,-7.3395,-2.1744,0.9918
1,throwing,-0.0823,0.3579,1.0537,-7.3547,-2.1439,0.9766
1,throwing,-0.0840,0.3621,1.0554,-7.4615,-2.3727,0.9918
1,throwing,-0.0859,0.3586,1.0615,-7.6599,-2.5330,1.2741
1,throwing,-0.0850,0.3625,1.0596,-7.7820,-2.7084,1.4877
1,throwing,-0.0864,0.3574,1.0464,-7.6141,-2.8763,1.5488
1,throwing,-0.0903,0.3616,1.0498,-7.4768,-3.0212,1.6403
1,throwing,-0.0842,0.3601,1.0576,-7.4692,-3.1509,1.7853
1,throwing,-0.0864,0.3560,1.0569,-7.5760,-3.1738,1.9836
